Id,First Name,Last Name,Gender,Country,Age,Dept_id
1,Dulce,Abril,Female,United States,32,3
2,Mara,Hashimoto,Female,Great Britain,25,3
3,Philip,Gent,Male,France,36,3
4,Kathleen,Hanner,Female,United States,25,3
5,Nereida,Magwood,Female,United States,58,4
5,Nereida,Magwood,Female,United States,58,4
6,Gaston,Brumm,Male,United States,24,4
7,Etta,Hurn,Female,Great Britain,56,4
7,Etta,Hurn,Female,Great Britain,56,4
8,Earlean,Melgar,Female,United States,27,4
9,Vincenza,Weiland,Female,United States,40,4
9,Vincenza,Weiland,Female,United States,40,4
9,Vincenza,Weiland,Female,United States,40,4
